[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.001449s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000185s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_category` [ RunTime:0.001745s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE 1=1 AND id='1' LIMIT 1   [ RunTime:0.000282s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SELECT * FROM `xnfy520_yaomai_help_center_category` WHERE id<>1 and publish=1  [ RunTime:0.000307s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.002058s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SELECT `id`,`pid`,`name`,`sort` FROM `xnfy520_yaomai_help_center_information` WHERE publish=1 AND pid='2' ORDER BY sort,id LIMIT 4   [ RunTime:0.000299s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.001965s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SELECT `id`,`pid`,`name`,`sort` FROM `xnfy520_yaomai_help_center_information` WHERE publish=1 AND pid='3' ORDER BY sort,id LIMIT 4   [ RunTime:0.000213s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.001898s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SELECT `id`,`pid`,`name`,`sort` FROM `xnfy520_yaomai_help_center_information` WHERE publish=1 AND pid='4' ORDER BY sort,id LIMIT 4   [ RunTime:0.000289s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_help_center_information` [ RunTime:0.004474s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SELECT `id`,`pid`,`name`,`sort` FROM `xnfy520_yaomai_help_center_information` WHERE publish=1 AND pid='5' ORDER BY sort,id LIMIT 4   [ RunTime:0.000365s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_category` [ RunTime:0.002336s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SELECT * FROM `xnfy520_yaomai_commodity_category` WHERE publish=1 ORDER BY sort,id  [ RunTime:0.002161s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.002991s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='1' ORDER BY sort,id  [ RunTime:0.000325s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.001635s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='2' ORDER BY sort,id  [ RunTime:0.000273s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.001669s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='3' ORDER BY sort,id  [ RunTime:0.000389s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.004311s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='4' ORDER BY sort,id  [ RunTime:0.000313s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.022851s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='5' ORDER BY sort,id  [ RunTime:0.000261s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_subclass` [ RunTime:0.009018s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SELECT * FROM `xnfy520_yaomai_commodity_subclass` WHERE publish=1 AND pid='6' ORDER BY sort,id  [ RunTime:0.000270s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_advert_list` [ RunTime:0.011319s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SELECT * FROM `xnfy520_yaomai_advert_list` WHERE publish=1 AND pid=9 ORDER BY sort LIMIT 1   [ RunTime:0.000250s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_system_announcement` [ RunTime:0.025603s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SELECT * FROM `xnfy520_yaomai_system_announcement` WHERE publish=1 ORDER BY sort desc LIMIT 20   [ RunTime:0.000313s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_index_recommend` [ RunTime:0.002116s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SELECT * FROM `xnfy520_yaomai_index_recommend` WHERE type=3 ORDER BY sort,id  [ RunTime:0.000223s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_list` [ RunTime:0.006554s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SELECT `id`,`pid`,`cid`,`name`,`image`,`price` FROM `xnfy520_yaomai_commodity_list` WHERE enable=1 AND id='10028' LIMIT 1   [ RunTime:0.000237s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_list` [ RunTime:0.023592s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SELECT `id`,`pid`,`cid`,`name`,`image`,`price` FROM `xnfy520_yaomai_commodity_list` WHERE enable=1 AND id='10020' LIMIT 1   [ RunTime:0.000252s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SHOW COLUMNS FROM `xnfy520_yaomai_commodity_list` [ RunTime:0.031320s ]
[ 2013-09-06T09:51:17+08:00 ] /xnfy520_yaomai/Cart | SQL: SELECT `id`,`pid`,`cid`,`name`,`image`,`price` FROM `xnfy520_yaomai_commodity_list` WHERE enable=1 AND id='10026' LIMIT 1   [ RunTime:0.000290s ]
